accession	class	platform	truth_bp	rung_every_nth	mode	seed	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	normalization_engaged	skew_score	skew_verdict	detection_sample_reads	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	never	4556	1500	750	40415	0.018	30600	1790000	no	NA	NA	NA	NA	NA	182663	3.33	no	0:08.73	161204	0	runs/SRR10388020/n1.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	auto	7	1500	750	2168781	0.978	787270	2750000	yes	181.00	detected	1777	16	67348	182663	1.60	no	0:10.81	110460	0	runs/SRR10388020/n1.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	auto	42	1500	750	2112590	0.952	775570	2700000	yes	205.00	detected	1805	17	69218	182663	2.00	no	0:11.05	108736	0	runs/SRR10388020/n1.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	auto	4556	1500	750	1908998	0.861	725480	2660000	yes	205.00	detected	1838	16	66969	182663	2.40	no	0:10.97	110612	0	runs/SRR10388020/n1.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	always	7	1500	750	2168781	0.978	787270	2750000	yes	NA	not reported	1777	16	67348	182663	1.60	no	0:10.80	99052	0	runs/SRR10388020/n1.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	always	42	1500	750	2112590	0.952	775570	2700000	yes	NA	not reported	1805	17	69218	182663	2.00	no	0:10.66	110796	0	runs/SRR10388020/n1.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	always	4556	1500	750	1908998	0.861	725480	2660000	yes	NA	not reported	1838	16	66969	182663	2.40	no	0:10.94	110160	0	runs/SRR10388020/n1.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	never	7	1500	750	411379	0.185	27940	2450000	no	NA	NA	NA	NA	NA	30444	5.33	no	0:02.10	177084	0	runs/SRR10388020/n6.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	never	42	1500	750	37127	0.017	27720	2300000	no	NA	NA	NA	NA	NA	30444	8.40	no	0:02.17	168876	0	runs/SRR10388020/n6.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	never	4556	1500	750	39464	0.018	28550	1810000	no	NA	NA	NA	NA	NA	30444	5.47	no	0:02.21	157088	0	runs/SRR10388020/n6.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	auto	7	1500	750	2167175	0.977	849480	2750000	yes	66.00	detected	500	6	15653	30444	1.87	no	0:00.81	136172	0	runs/SRR10388020/n6.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	auto	42	1500	750	1995394	0.899	705000	2640000	yes	62.00	detected	500	6	15689	30444	2.27	no	0:00.82	142452	0	runs/SRR10388020/n6.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	auto	4556	1500	750	1963561	0.885	793430	2400000	yes	66.00	detected	500	6	15740	30444	2.67	no	0:00.80	133800	0	runs/SRR10388020/n6.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	always	7	1500	750	2167175	0.977	849480	2750000	yes	NA	not reported	500	6	15653	30444	1.87	no	0:00.81	136000	0	runs/SRR10388020/n6.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	always	42	1500	750	1995394	0.899	705000	2640000	yes	NA	not reported	500	6	15689	30444	2.27	no	0:00.87	141444	0	runs/SRR10388020/n6.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	6	always	4556	1500	750	1963561	0.885	793430	2400000	yes	NA	not reported	500	6	15740	30444	2.67	no	0:00.88	136800	0	runs/SRR10388020/n6.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	never	7	1500	750	39973	0.018	31430	2200000	no	NA	NA	NA	NA	NA	18267	4.93	no	0:02.30	161168	0	runs/SRR10388020/n10.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	never	42	1500	750	36745	0.017	28380	1400000	no	NA	NA	NA	NA	NA	18267	4.80	no	0:02.29	165444	0	runs/SRR10388020/n10.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	never	4556	1500	750	39951	0.018	29760	1960000	no	NA	NA	NA	NA	NA	18267	6.40	no	0:02.21	155680	0	runs/SRR10388020/n10.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	auto	7	1500	750	2192204	0.988	676160	2690000	yes	67.00	detected	500	3	8975	18267	2.00	no	0:00.58	145676	0	runs/SRR10388020/n10.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	auto	42	1500	750	2080151	0.938	639190	2640000	yes	67.00	detected	500	3	8946	18267	3.33	no	0:00.62	135308	0	runs/SRR10388020/n10.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	auto	4556	1500	750	2031212	0.916	819710	2510000	yes	63.00	detected	500	3	8996	18267	3.73	no	0:00.60	137748	0	runs/SRR10388020/n10.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	always	7	1500	750	2192204	0.988	676160	2690000	yes	NA	not reported	500	3	8975	18267	2.00	no	0:00.59	131952	0	runs/SRR10388020/n10.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	always	42	1500	750	2080151	0.938	639190	2640000	yes	NA	not reported	500	3	8946	18267	3.33	no	0:00.62	141808	0	runs/SRR10388020/n10.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	10	always	4556	1500	750	2031212	0.916	819710	2510000	yes	NA	not reported	500	3	8996	18267	3.73	no	0:00.64	137556	0	runs/SRR10388020/n10.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	never	7	1500	750	37312	0.017	27590	2240000	no	NA	NA	NA	NA	NA	13048	4.53	no	0:02.31	153588	0	runs/SRR10388020/n14.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	never	42	1500	750	38434	0.017	28240	1930000	no	NA	NA	NA	NA	NA	13048	5.73	no	0:02.08	147660	0	runs/SRR10388020/n14.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	never	4556	1500	750	40407	0.018	30160	2460000	no	NA	NA	NA	NA	NA	13048	5.20	no	0:02.06	158668	0	runs/SRR10388020/n14.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	auto	7	1500	750	2199094	0.991	574010	2740000	yes	62.00	detected	500	3	6869	13048	3.60	no	0:00.52	142244	0	runs/SRR10388020/n14.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	auto	42	1500	750	2005777	0.904	530140	2580000	yes	62.00	detected	500	3	6847	13048	1.47	no	0:00.53	141488	0	runs/SRR10388020/n14.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	auto	4556	1500	750	2063238	0.930	613250	2660000	yes	58.00	detected	500	3	6886	13048	2.80	no	0:00.51	140064	0	runs/SRR10388020/n14.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	always	7	1500	750	2199094	0.991	574010	2740000	yes	NA	not reported	500	3	6869	13048	3.60	no	0:00.51	143380	0	runs/SRR10388020/n14.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	always	42	1500	750	2005777	0.904	530140	2580000	yes	NA	not reported	500	3	6847	13048	1.47	no	0:00.51	139528	0	runs/SRR10388020/n14.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	14	always	4556	1500	750	2063238	0.930	613250	2660000	yes	NA	not reported	500	3	6886	13048	2.80	no	0:00.51	141208	0	runs/SRR10388020/n14.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	never	7	1500	750	39468	0.018	29580	1910000	no	NA	NA	NA	NA	NA	9134	5.60	no	0:02.02	154192	0	runs/SRR10388020/n20.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	never	42	1500	750	39417	0.018	28900	2110000	no	NA	NA	NA	NA	NA	9134	3.60	no	0:02.07	151492	0	runs/SRR10388020/n20.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	never	4556	1500	750	39887	0.018	29580	2230000	no	NA	NA	NA	NA	NA	9134	4.80	no	0:02.17	185724	0	runs/SRR10388020/n20.never.s4556
